,seed,hidden_channels,mu,train_acc,val_acc,test_acc,icd
439,2,4,38,0.1429,0.122,0.13,0.0297
440,2,4,40,0.1429,0.122,0.13,0.0284
441,2,8,0,0.9857,0.786,0.798,0.3978
442,2,8,2,0.1929,0.316,0.326,0.2767
443,2,8,4,0.1429,0.316,0.319,0.1729
444,2,8,6,0.1429,0.316,0.319,0.1378
445,2,8,8,0.1429,0.316,0.319,0.1178
446,2,8,10,0.1429,0.072,0.091,0.0943
447,2,8,12,0.1429,0.072,0.091,0.0829
448,2,8,14,0.1429,0.072,0.091,0.075
449,2,8,16,0.1429,0.072,0.091,0.0685
450,2,8,18,0.1429,0.072,0.091,0.0644
451,2,8,20,0.1429,0.072,0.091,0.06
452,2,8,22,0.1429,0.072,0.091,0.0562
453,2,8,24,0.1429,0.072,0.091,0.0533
454,2,8,26,0.1429,0.072,0.091,0.0503
455,2,8,28,0.1429,0.072,0.091,0.0489
456,2,8,30,0.1429,0.072,0.091,0.0466
457,2,8,32,0.1429,0.072,0.091,0.0441
458,2,8,34,0.1429,0.072,0.091,0.0424
459,2,8,36,0.1429,0.072,0.091,0.0403
460,2,8,38,0.1429,0.072,0.091,0.0386
461,2,8,40,0.1429,0.072,0.091,0.0352
462,2,16,0,1.0,0.798,0.821,0.4435
463,2,16,2,0.6429,0.18,0.206,0.2879
464,2,16,4,0.2929,0.132,0.143,0.2089
465,2,16,6,0.1714,0.128,0.134,0.1517
466,2,16,8,0.1571,0.122,0.133,0.1202
467,2,16,10,0.15,0.122,0.132,0.1023
468,2,16,12,0.15,0.122,0.132,0.0891
469,2,16,14,0.1429,0.122,0.13,0.0848
470,2,16,16,0.1429,0.122,0.13,0.0758
471,2,16,18,0.1429,0.122,0.13,0.0687
472,2,16,20,0.1429,0.122,0.13,0.0609
473,2,16,22,0.1429,0.122,0.13,0.0565
474,2,16,24,0.1429,0.122,0.13,0.053
475,2,16,26,0.1429,0.122,0.13,0.05
476,2,16,28,0.1429,0.122,0.13,0.0473
477,2,16,30,0.1429,0.122,0.13,0.0462
478,2,16,32,0.1429,0.122,0.13,0.0443
479,2,16,34,0.1429,0.122,0.13,0.0425
480,2,16,36,0.1429,0.122,0.13,0.0408
481,2,16,38,0.1429,0.122,0.13,0.0398
482,2,16,40,0.1429,0.156,0.144,0.04
483,2,32,0,1.0,0.784,0.807,0.4574
484,2,32,2,0.8643,0.472,0.489,0.309
485,2,32,4,0.6071,0.184,0.199,0.2674
486,2,32,6,0.2857,0.08,0.104,0.1813
487,2,32,8,0.2286,0.08,0.098,0.1419
488,2,32,10,0.1714,0.074,0.094,0.1168
489,2,32,12,0.1571,0.074,0.093,0.1002
490,2,32,14,0.1571,0.074,0.093,0.0879
491,2,32,16,0.1571,0.074,0.093,0.0787
492,2,32,18,0.1571,0.074,0.093,0.0717
493,2,32,20,0.1571,0.074,0.093,0.0668
494,2,32,22,0.15,0.074,0.092,0.0645
495,2,32,24,0.1429,0.072,0.091,0.0613
496,2,32,26,0.1429,0.072,0.091,0.0549
497,2,32,28,0.1429,0.072,0.091,0.0515
498,2,32,30,0.1429,0.072,0.091,0.0491
499,2,32,32,0.1429,0.072,0.091,0.0461
500,2,32,34,0.1429,0.072,0.091,0.0443
501,2,32,36,0.1429,0.072,0.091,0.0424
502,2,32,38,0.1429,0.072,0.091,0.0408
503,2,32,40,0.1429,0.072,0.091,0.039
504,2,64,0,1.0,0.788,0.814,0.4627
505,2,64,2,0.9,0.548,0.562,0.2964
506,2,64,4,0.6429,0.368,0.387,0.2437
507,2,64,6,0.4357,0.334,0.35,0.1998
508,2,64,8,0.35,0.324,0.342,0.1736
509,2,64,10,0.2786,0.324,0.33,0.1471
510,2,64,12,0.2071,0.316,0.326,0.1249
511,2,64,14,0.2,0.316,0.325,0.1056
512,2,64,16,0.1929,0.316,0.325,0.0933
513,2,64,18,0.1857,0.316,0.324,0.0862
514,2,64,20,0.1786,0.316,0.322,0.0819
515,2,64,22,0.1714,0.316,0.322,0.0749
516,2,64,24,0.1714,0.316,0.321,0.0723
517,2,64,26,0.1429,0.316,0.319,0.0725
518,2,64,28,0.1429,0.316,0.319,0.0668
519,2,64,30,0.1429,0.316,0.319,0.0614
520,2,64,32,0.1429,0.316,0.319,0.0596
521,2,64,34,0.1429,0.316,0.319,0.0555
522,2,64,36,0.1429,0.316,0.319,0.0527
523,2,64,38,0.1429,0.316,0.319,0.0501
524,2,64,40,0.1429,0.316,0.319,0.048
525,2,128,0,1.0,0.79,0.811,0.4586
526,2,128,2,0.9714,0.442,0.418,0.2751
