,mu,seed,train_acc,val_acc,test_acc,icd0,icd1,icd2,icd3
195,0.6,9,0.9857,0.786,0.817,tensor(0.1113),3.0773094,0.00017585575,1.2673205
196,0.7,9,0.9857,0.752,0.771,tensor(0.1119),3.3399107,0.00018408356,1.3324988
197,0.8,9,0.9857,0.706,0.735,tensor(0.1153),3.583713,0.0001823173,1.3952162
198,0.9,9,0.9571,0.652,0.662,tensor(0.1423),3.8556898,0.00016024607,1.484916
199,1.0,9,0.9286,0.564,0.561,tensor(0.1636),4.1046,0.0001299611,1.5663836
200,1.1,9,0.9214,0.544,0.54,tensor(0.1685),4.282565,0.00012294282,1.6032193
201,1.2,9,0.9143,0.526,0.526,tensor(0.1726),4.452708,0.00012397573,1.6343409
202,1.3,9,0.9071,0.51,0.514,tensor(0.1781),4.6864266,0.00013432709,1.6770859
203,1.4,9,0.9,0.486,0.492,tensor(0.1843),4.8357444,0.0001418326,1.7033497
204,1.5,9,0.8643,0.462,0.476,tensor(0.1943),4.9750648,0.00015162388,1.7276524
205,1.6,9,0.8357,0.438,0.463,tensor(0.1970),5.101472,0.00015850262,1.7468747
206,1.7,9,0.8214,0.424,0.449,tensor(0.1979),5.2162695,0.00016193451,1.761561
207,1.8,9,0.7857,0.412,0.443,tensor(0.1996),5.331965,0.0001631589,1.7751759
208,1.9,9,0.7429,0.4,0.434,tensor(0.2074),5.464185,0.00015836114,1.7941772
209,2.0,9,0.7286,0.396,0.424,tensor(0.2055),5.600891,0.00016156667,1.8125906
