,seed,hidden_channels,mu,train_acc,val_acc,test_acc,icd0,icd1,icd2,icd3,icd4
387,2,1,18,0.1429,0.072,0.091,tensor(0.1652),5.5501595,0.00012837858,1.683798,"[0.0010704701, 0.00055611006, 0.00013323447]"
388,2,1,20,0.1429,0.072,0.091,tensor(0.1453),5.8705025,0.00013795085,1.7363824,"[0.0011953946, 0.00056956464, 0.00015914753]"
389,2,1,22,0.1429,0.072,0.091,tensor(0.1296),6.1844096,0.00014671365,1.7873135,"[0.00131151, 0.0005812359, 0.00018472965]"
390,2,1,24,0.1429,0.072,0.091,tensor(0.1169),6.4893346,0.00015482421,1.8355656,"[0.0014182163, 0.0005916984, 0.0002095097]"
391,2,1,26,0.1429,0.072,0.091,tensor(0.1063),6.7825446,0.00016236989,1.8804966,"[0.0015154592, 0.00060126936, 0.00023307894]"
392,2,1,28,0.1429,0.072,0.091,tensor(0.0975),7.0679164,0.00016956174,1.9236404,"[0.0016054666, 0.00061031117, 0.0002556316]"
393,2,1,30,0.1429,0.072,0.091,tensor(0.0902),7.3431787,0.00017639565,1.9643536,"[0.0016881294, 0.0006188817, 0.0002769163]"
394,2,1,32,0.1429,0.072,0.091,tensor(0.0841),7.6119285,0.00018310598,2.0036242,"[0.001766652, 0.0006272706, 0.00029750535]"
395,2,1,34,0.1429,0.072,0.091,tensor(0.0787),7.867156,0.00018931855,2.039895,"[0.0018364897, 0.0006351122, 0.000316227]"
396,2,1,36,0.1429,0.072,0.091,tensor(0.0741),8.112706,0.00019523886,2.0742354,"[0.001900563, 0.00064264855, 0.00033369102]"
397,2,1,38,0.1429,0.072,0.091,tensor(0.0701),8.347601,0.00020083695,2.106505,"[0.0019592599, 0.00064984214, 0.00034983302]"
398,2,1,40,0.1429,0.072,0.091,tensor(0.0666),8.573317,0.00020616192,2.1371036,"[0.002013371, 0.00065674627, 0.00036487883]"
399,2,2,0,0.7214,0.564,0.528,tensor(1.6619),0.51674086,5.5999926e-06,0.5496156,"[0.0005129605, 0.00019324082, 2.9647186e-05]"
400,2,2,2,0.1429,0.316,0.319,tensor(1.4368),2.4065895,1.8298737e-06,1.0774382,"[0.00023858914, 6.4458894e-05, 1.2068024e-05]"
401,2,2,4,0.1429,0.316,0.319,tensor(1.0188),3.0196936,7.666871e-06,1.1828591,"[0.0001552581, 4.2702995e-05, 1.4205379e-05]"
402,2,2,6,0.1429,0.316,0.319,tensor(0.8016),3.507523,4.708076e-05,1.2787927,"[0.00032814246, 0.00015628908, 3.9857223e-05]"
403,2,2,8,0.1429,0.316,0.319,tensor(0.5703),4.0340433,7.640091e-05,1.3733418,"[0.0006302366, 0.000374683, 9.113829e-05]"
404,2,2,10,0.1429,0.316,0.319,tensor(0.4266),4.5196567,0.000109745284,1.4531314,"[0.0009582749, 0.0005062146, 0.00014943595]"
405,2,2,12,0.1429,0.316,0.319,tensor(0.3080),5.0149198,0.00014221466,1.5286577,"[0.0012679119, 0.0005742115, 0.00021071087]"
406,2,2,14,0.1429,0.316,0.319,tensor(0.2298),5.5039115,0.00016922787,1.5984174,"[0.0015391059, 0.0006141314, 0.0002691969]"
407,2,2,16,0.1429,0.316,0.319,tensor(0.1790),5.977559,0.00019165408,1.6620523,"[0.0017676372, 0.00064249896, 0.00032185912]"
408,2,2,18,0.1429,0.316,0.319,tensor(0.1438),6.4373083,0.00021092543,1.7205839,"[0.0019591444, 0.0006656876, 0.0003682264]"
409,2,2,20,0.1429,0.316,0.319,tensor(0.1184),6.888865,0.00022801978,1.7753546,"[0.002122073, 0.0006863622, 0.0004091057]"
410,2,2,22,0.1429,0.316,0.319,tensor(0.0992),7.3371058,0.00024346249,1.8273968,"[0.0022632736, 0.00070569915, 0.00044537202]"
411,2,2,24,0.1429,0.316,0.319,tensor(0.0844),7.7847123,0.0002575151,1.8773373,"[0.0023875188, 0.0007242188, 0.0004777275]"
412,2,2,26,0.1429,0.316,0.319,tensor(0.0726),8.232983,0.00027035258,1.9255311,"[0.002498272, 0.00074224145, 0.0005067736]"
413,2,2,28,0.1429,0.316,0.319,tensor(0.0632),8.681628,0.00028207008,1.9721204,"[0.0025975697, 0.0007598159, 0.0005328711]"
414,2,2,30,0.1429,0.316,0.319,tensor(0.0555),9.129519,0.00029269638,2.017351,"[0.0026873967, 0.00077703455, 0.00055629434]"
415,2,2,32,0.1429,0.316,0.319,tensor(0.0492),9.574709,0.00030226327,2.0627067,"[0.002768814, 0.000793771, 0.000577264]"
416,2,2,34,0.1429,0.316,0.319,tensor(0.0440),10.01548,0.00031082638,2.1115644,"[0.0028429271, 0.00081001833, 0.00059599336]"
417,2,2,36,0.1429,0.316,0.319,tensor(0.0396),10.450198,0.00031847553,2.1649587,"[0.0029104662, 0.00082570745, 0.000612704]"
418,2,2,38,0.1429,0.316,0.319,tensor(0.0358),10.877741,0.00032532166,2.2203414,"[0.002972551, 0.00084087934, 0.0006276598]"
419,2,2,40,0.1429,0.316,0.319,tensor(0.0326),11.296778,0.00033142185,2.2753203,"[0.0030296359, 0.0008555292, 0.00064109]"
420,2,4,0,0.9714,0.628,0.664,tensor(2.4952),0.8158761,9.358377e-05,0.6730545,"[0.00055463996, 0.0007226834, 6.1265826e-05]"
421,2,4,2,0.1429,0.122,0.13,tensor(2.9872),3.5779452,4.7524743e-05,1.4538766,"[0.00067734625, 0.00020373157, 4.06208e-05]"
422,2,4,4,0.1429,0.122,0.13,tensor(1.0235),3.5577333,4.249751e-05,1.2871734,"[0.00038680542, 0.00016164906, 3.044594e-05]"
423,2,4,6,0.1429,0.122,0.13,tensor(0.9113),4.0147014,7.483778e-05,1.3638985,"[0.0007130454, 0.00039835813, 8.0313715e-05]"
424,2,4,8,0.1429,0.122,0.13,tensor(0.7096),4.6209946,0.00013136849,1.4680578,"[0.0012831092, 0.0005731816, 0.00018025881]"
425,2,4,10,0.1429,0.122,0.13,tensor(0.5410),5.246566,0.00018100938,1.5655981,"[0.0018268994, 0.00064564164, 0.00029125944]"
426,2,4,12,0.1429,0.122,0.13,tensor(0.4098),5.8511977,0.00022083029,1.6536647,"[0.0022385467, 0.0006948722, 0.00038800287]"
427,2,4,14,0.1429,0.122,0.13,tensor(0.3015),6.427836,0.0002532874,1.733166,"[0.0025307678, 0.0007364306, 0.00046459606]"
428,2,4,16,0.1429,0.122,0.13,tensor(0.2283),6.959005,0.00027855198,1.8030356,"[0.0027395028, 0.0007722033, 0.0005222903]"
429,2,4,18,0.1429,0.122,0.13,tensor(0.1775),7.4584646,0.0002986665,1.8661902,"[0.0028990784, 0.00080450426, 0.00056769064]"
430,2,4,20,0.1429,0.122,0.13,tensor(0.1414),7.9309616,0.00031458767,1.9238845,"[0.0030244372, 0.0008336376, 0.00060355227]"
431,2,4,22,0.1429,0.122,0.13,tensor(0.1147),8.379692,0.0003271664,1.9769595,"[0.0031252524, 0.00085982255, 0.00063206773]"
432,2,4,24,0.1429,0.122,0.13,tensor(0.0945),8.806334,0.0003371714,2.0259738,"[0.0032081588, 0.00088332273, 0.0006549711]"
433,2,4,26,0.1429,0.122,0.13,tensor(0.0791),9.212678,0.00034531436,2.0714223,"[0.003278376, 0.0009046924, 0.00067384436]"
434,2,4,28,0.1429,0.122,0.13,tensor(0.0671),9.601157,0.00035203723,2.1137981,"[0.0033390187, 0.00092426734, 0.00068959646]"
435,2,4,30,0.1429,0.122,0.13,tensor(0.0574),9.974498,0.0003576684,2.1535747,"[0.003392218, 0.00094226195, 0.00070295855]"
436,2,4,32,0.1429,0.122,0.13,tensor(0.0497),10.335543,0.00036247176,2.1911845,"[0.003440007, 0.0009589912, 0.0007144962]"
437,2,4,34,0.1429,0.122,0.13,tensor(0.0433),10.68664,0.00036661883,2.2269752,"[0.0034834384, 0.00097463175, 0.00072458497]"
438,2,4,36,0.1429,0.122,0.13,tensor(0.0380),11.030111,0.00037023387,2.26127,"[0.0035234264, 0.0009893873, 0.00073349144]"
439,2,4,38,0.1429,0.122,0.13,tensor(0.0335),11.367409,0.00037342418,2.2942832,"[0.0035605766, 0.0010034099, 0.0007414572]"
